Name_anime;Count_of_series;Genre;Topics;Years;Age_limit
Хост-клуб Оранской школы;26;комедия,повседневность,романтика;школа,сёдзё;2006;16
Токийские мстители;24;боевик,драма,мистика;сёнен,школа;2021;18
Реинкарнация безработного;24;драма,фэнтези;магия;2021;16
Монстр за соседней партой;13;комедия,повседневность,романтика;сёдзё,школа;2012;16
Класс превосходства;16;комедия,романтика;школа;2017,2022;16
Убийца гоблинов;12;приключения,боевик,фэнтези;-;2018;18
К-он!;41;комедия,повседневность;музыка,школа;2009,2010;16
Клинков бесконечный край;26;приключения,боевик,драма,фэнтези;магия;2014,2015;18
Непутёвый ученик в школе магии;40;повседневность,романтика,фантастика;магия,школа;2014,2020;16
Гинтама;367;приключения,боевик,комедия,фантастика;историческое,пародия,самураи,сёнен;2006,2011,2012,2015,2017,2018;16
Маги: Лабиринт волшебства;63;приключения,боевик,фэнтези;магия,сёнен;2012,2013,2016;16
Ох уж этот экстрасенс Сайки Кусуо!;56;комедия,повседневность,мистика;сёнен,школа;2016,2018,2019;16
Семья шпиона;12;боевик,комедия;сёнен;2022;16
Рандеву с жизнью;47;комедия,повседневность,романтика,фантастика;меха,школа;2013,2014,2019,2022;18
Повторная жизнь;17;повседневность,романтика;школа;2016;16
Золотая пора;24;комедия,романтика,драма;-;2013;16
Пираты черной лагуны;29;боевик,комедия,драма,психология;-;2006,2010;18
Судьба: Ночь схватки;24;боевик,романтика,фэнтези;магия;2006;18
Данганронпа: школа отчаяния;37;повседневность,детектив,психология;ужасы,школа;2013,2016;18
Меланхолия Харухи Судзумии;44;комедия,повседневность,фантастика,детектив;пародия,школа;2006,2009,2015;16
Черная пуля;13;боевик,фантастика,детектив;-;2014;18
Ежемесячное сёдзё Нозаки-куна;12;комедия,повседневность,романтика;школа;2014;16
Синтетические воспоминания;13;романтика,драма,фантастика;-;2015;16
Шумиха!;13;приключения,боевик,комедия,мистика,детектив;историческое;2007;18
Так сложно любить отаку;11;комедия,повседневность,романтика;-;2018;16
Девушка напрокат;17;комедия,романтика;сёнен,школа;2020,2022;16
