Name_anime;Count_of_series;Genre;Topics;Years;Age_limit
Сказания Зестирии;26;приключения,боевик,фэнтези;магия;2016,2017;16
Комбатанты будут высланы!;12;боевик,комедия,фэнтези;-;2021;18
Гордость убийцы;12;фэнтези;-;2019;16
Адзуманга Дайо;26;комедия,повседневность;школа;2002;16
Убивала слизней 300 лет до максимального уровня;12;комедия,повседневность,фэнтези;-;2021;16
Ведьмина магия в деле;12;боевик,фэнтези,мистика;магия;2014;16
Намбака;26;боевик,комедия,драма;-;2016;16
Реальная девушка;24;повседневность,романтика;сёдзё,школа;2018,2019;16
Герой-реалист перестраивает королевство;26;боевик,романтика,фэнтези;военное,магия;2021;16
С места на место;12;комедия,повседневность,романтика;школа;2012;16
Руки прочь от киноклуба!;12;приключения,комедия,повседневность;школа;2020;16
Кэрол и Тьюсдей;24;романтика,драма,фантастика;музыка;2019;16
Из завтрашнего дня разноцветного мира;13;романтика,драма,фантастика;магия,школа;2018;16
Нодамэ Кантабиле;45;комедия,повседневность,романтика,драма;музыка;2007,2008,2010;16
Сквозь бальный зал;24;комедия,повседневность,романтика,драма;сёнен,спорт,школа;2017;16
Девушки в последнем путешествии;12;приключения,повседневность,фантастика,детектив;-;2017;16
Низкоуровневый персонаж Томодзаки;12;романтика,драма;школа;2021;16
Альдерамин в небе;13;приключения,боевик,фэнтези;военное;2016;18
Триплексоголик;37;комедия,драма,мистика,детектив,психология;-;2006,2008;16
Друзья на неделю;12;комедия,повседневность;сёнен,школа;2014;16
Наука влюблена, и мы докажем это;24;комедия,романтика;-;2020,2022;16
Девичье сезонное обострение;12;комедия,повседневность,романтика,драма;сёнен,школа;2019;16
Лунное путешествие к новому миру;12;приключения,боевик,комедия,фэнтези;-;2021;16
Скрытые вещи;12;комедия,повседневность;сёнен;2020;16
Дьявол может плакать;12;боевик,фэнтези,мистика;демоны;2007;18
Контроль;11;боевик,детектив,триллер;суперсила;2011;16
Дуэт и вспышка молнии;12;комедия,повседневность;-;2016;16
Радиосигнал от чудачки. Юноша на связи;13;комедия,повседневность,фантастика;-;2011;16
Школьные няни;12;комедия,повседневность;сёдзё,школа;2018;16
Детективное агентство Хаматора;24;комедия,драма,детектив;суперсила;2014;18
Высь;12;повседневность,романтика,драма,мистика;-;2005;16
Святая троица: мечи, магия, школа;12;боевик,повседневность,романтика,фэнтези,мистика;школа;2015;18
Измерение W;12;боевик,фантастика;-;2016;18
Мир по-прежнему красив;12;приключения,романтика,фэнтези;сёдзё;2014;16
Пингвиний барабан;24;комедия,драма,детектив,психология;-;2011;18
Сильнейший в истории ученик Кеничи;50;боевик,комедия,повседневность;боевые искусства,сёнен,школа;2006;16
Амнезия;12;романтика,фэнтези,детектив;-;2013;16
Легенда о легендарных героях;25;приключения,боевик,фэнтези;магия,сёнен;2010;18
Токийское восьмибалльное;11;драма;-;2009;16
Великие помыслы Оды Нобуны;12;комедия,романтика;историческое;2012;16
Хаос. Вершина;12;романтика,фантастика,мистика,триллер;-;2008;18
Бездарная Нана;13;мистика,триллер,психология;сёнен,суперсила;2020;18
Спой для меня Вчера;12;повседневность,романтика,драма;-;2020;16
Легенда о Гранкресте;24;боевик,фэнтези;-;2018;18
Загадочная девушка Х;14;повседневность,романтика;школа;2012;18
Маленькие проказники!;39;комедия,повседневность,драма,мистика;школа;2012,2013;16
Да просто так!;12;повседневность,романтика,драма;школа;2017;16
С этим клубом точно что-то не так!;12;комедия,повседневность,романтика;школа;2016;16
Маг-обманщик из другого мира;12;приключения,боевик,фэнтези;-;2019;16
Дневник слизи-попаданца;12;комедия,повседневность,фэнтези;сёнен;2021;16
Девушки и танки;12;боевик,повседневность;военное,спорт,школа;2012;16
Ремейк нашей жизни;12;комедия,повседневность,романтика,драма;-;2021;16
Дека-данс;12;приключения,боевик,фантастика;-;2020;16
Серебряная ложка;22;комедия,повседневность;сёнен,школа;2013,2014;16
Сквозь эпохи: Узы ракуго;25;драма;историческое;2016,2017;16
Война двенадцати;12;боевик;-;2017;18
Мифический дух: Хроники;12;приключения,боевик,романтика,драма,фэнтези;-;2021;16
Гридмен;12;боевик,фантастика;меха;2018;16
Почувствуй ветер;23;драма;спорт;2018;16
Астра, затерянная в космосе;12;приключения,фантастика,детектив;космос,сёнен;2019;16
Любовь похожа на прошедший дождь;12;повседневность,романтика,драма;-;2018;16
Озорной поцелуй;25;комедия,романтика;сёдзё;2008;16
Волчица и семеро друзей;12;комедия,романтика;пародия;2010;16
Запретная татуировка;12;боевик,комедия,мистика,детектив;боевые искусства,суперсила;2016;18
Тада не может влюбиться;13;комедия,повседневность,романтика;-;2018;16
Слэм-данк;101;комедия,драма;сёнен,спорт,школа;1993;16
Сомали и лесной дух;12;приключения,повседневность,драма,фэнтези;демоны;2020;16
Мой сэмпай раздражает!;12;комедия,повседневность,романтика;-;2021;18
Чёрный кот;24;приключения,комедия,фантастика;сёнен,суперсила;2005;16
Слуга Вампир;12;боевик,комедия,драма,мистика;вампиры;2016;18
Судьба: Девочка-волшебница Иллия;43;боевик,комедия,фэнтези;магия;2013,2014,2015,2016;16
Союз Серокрылых;13;повседневность,драма,фэнтези,детектив,психология;-;2002;16
Внук Нурарихёна;48;боевик,мистика;демоны,сёнен;2010,2011;16
Загадка дьявола;13;боевик,повседневность;сёдзё,школа;2014;18
Не сдавайся!;25;комедия,романтика,драма;сёдзё;2008;16
Кошачьи прихоти!;12;комедия,романтика;-;2009;16
Мёд и клевер;38;комедия,повседневность,романтика,драма;-;2005,2006;16
Персона 4;37;приключения,повседневность,фантастика,детектив;суперсила,школа;2011,2014;16
Задержи этот звук!;26;повседневность,романтика,драма;музыка,сёнен,школа;2019;16
Дворянство;13;боевик,мистика;вампиры,школа;2020;18
Полёт ведьмы;12;комедия,повседневность,мистика;магия,сёнен;2016;16
Шалости под сакурой;12;комедия,повседневность,романтика;школа,сёдзё;2014;16
Книга магии для начинающих с нуля;12;фэнтези;магия;2017;16
На самом деле я...;13;комедия,повседневность,романтика,фэнтези,мистика;вампиры,сёнен,школа;2015;16
Власть книжного червя;38;повседневность,фэнтези;-;2019,2020,2022;16
Эф - история воспоминаний;24;романтика,драма,детектив;-;2007,2008;16
Связь принцесс: Повторное погружение;25;приключения,боевик,комедия,фэнтези;-;2020,2022;16
Судьба. Великий приказ: Вавилония;21;боевик,фэнтези,мистика;магия;2019;16
Линия Дьявола;12;боевик,романтика,драма,мистика;вампиры;2018;18
Непостижимая Ахарэн;12;комедия;сёнен,школа;2022;16
Я стою на миллионе трупов;24;боевик,драма,фэнтези;игры,сёнен;2020,2021;16
Сонни Бой;12;детектив;суперсила;2021;18
Летнее время;16;мистика,детектив;сёнен;2022;16
Инструктор боевых магов;12;боевик,драма,фэнтези;магия,школа;2015;16
Война магов;12;боевик,фантастика,фэнтези;магия;2014;16
Последнее поле брани;12;боевик,романтика,фэнтези;военное;2020;16
История о пареньке из деревни перед сложнейшим подземельем;12;приключения,фэнтези;-;2021;18
Песнь ночных сов;4;романтика,мистика;вампиры,сёнен;2022;16
Персона 5;28;боевик,фэнтези;-;2018;18
Граф Монте-Кристо;24;драма,фантастика,мистика,детектив,триллер;-;2004;18
Девчонка не промах;21;комедия,повседневность,романтика;игры,школа;2018,2019;16
День, когда я стала Богом;12;драма,фэнтези;-;2020;18
Странники;26;романтика,драма,фантастика;космос;2003;16
Любовь, выборы и шоколад;13;романтика,драма;школа;2012;16
Рыцари и магия;13;боевик,фэнтези;меха,школа;2017;16
Блокнот Бога;12;детектив;-;2011;18
Выгнали из пати - поживу в глуши;13;приключения,повседневность,романтика,фэнтези;-;2021;18
Пожиратели духов: Зеро;24;боевик,мистика,триллер;суперсила;2008,2014;18
Паладин издалека;12;приключения,боевик,фэнтези;-;2021;16
Старшеклассники позволили себе жизнь в другом мире!;12;фэнтези;-;2019;16
Скрытое сокровище Нананы;11;приключения,комедия,мистика,детектив;-;2014;16
Романтическая комедия, где подруга детства не проиграет;12;комедия,романтика;школа;2021;18
Небесные волки: Сириус-егерь;12;боевик,мистика,триллер;вампиры,историческое;2018;18
Королевская игра;12;повседневность,драма,детектив,триллер,психология;ужасы,школа;2017;18
Это были мы;26;повседневность,романтика,драма;сёдзё;2006;16
Игра друзей;12;психология;игры,сёнен;2022;18
Нищебог же!;13;комедия,мистика;пародия,сёнен;2012;16
Заказывали кролика?;36;комедия,повседневность;-;2014,2015,2020;16
Один на вылет;25;психология;спорт;2008;16
Охота на привидений;25;комедия,мистика,детектив,триллер;ужасы,сёдзё;2006;16
Рыцари Сидонии;24;боевик,фантастика;космос,меха;2014,2015;18
Принцесса-медуза;11;комедия,повседневность;-;2010;16
Хроника крыльев;52;приключения,боевик,романтика,фэнтези,мистика;сёнен,магия;2005,2006;16
Терраформирование;28;боевик,драма,фантастика,триллер;космос,ужасы;2014,2016;18
Крестовый поход Хроно;24;боевик,романтика,мистика;демоны,историческое,сёнен;2003;18
Трусливый велосипедист;112;приключения,комедия,драма;сёнен,спорт;2013,2014,2017,2018;16
Кафе из другого мира;24;комедия,фэнтези,детектив;-;2017,2021;16
Боевой дворецкий Хаятэ!;101;боевик,комедия,романтика;пародия,сёнен;2007,2009,2012,2013;16
Радужные дни;24;комедия,повседневность,романтика;сёдзё,школа;2016;16
Тигр и кролик;38;боевик,комедия,мистика,детектив;суперсила;2011,2022;16
Ханаан;13;боевик,фантастика,мистика;суперсила;2009;18
Скет Данс;77;комедия,повседневность;школа,сёнен;2011;16
Усио и Тора;39;приключения,боевик,комедия,мистика;демоны,сёнен;2015,2016;16
В воскресенье у Бога выходной;13;приключения,фэнтези,детектив;-;2013;18
Бугипоп никогда не смеётся;18;драма,мистика,детектив,психология;ужасы;2019;18
Синяя весна и механическая пушка;12;боевик,комедия;сёнен,спорт;2015;16
Сайт волшебниц;12;драма,мистика,психология;ужасы;2018;18
В песках поющие китята;12;драма,фэнтези,детектив;сёдзё,суперсила;2017;16
Пристанище для потерянных;12;комедия,драма,детектив,триллер,психология;ужасы;2016;18
Владыка Демонов, по новой!;12;приключения,боевик,фэнтези;-;2019;16
Флотская коллекция;12;боевик,повседневность,фантастика;военное,школа;2015;16
С его стороны - с её стороны;26;комедия,повседневность,романтика,драма;сёдзё,школа;1998;16
Настоящие слёзы;13;повседневность,романтика,драма;школа;2008;16
Некий научный Акселератор;12;повседневность,фэнтези,мистика;школа,суперсила;2019;18
Джахи не будет отчаиваться!;20;комедия,мистика;сёнен;2021;16
Чара-хранители!;127;комедия,повседневность,мистика;магия,школа,сёдзё;2007,2008,2009;12
Карнавал;13;боевик,фантастика,фэнтези,детектив;-;2013;16
Классические истории;12;драма,триллер,психология;историческое;2009;18
Служащий х Служба;13;комедия,повседневность;-;2013;16
Хранитель священного духа;26;приключения,боевик,фэнтези;историческое;2007;16
Седьмой дух;25;боевик,фэнтези,мистика;военное,демоны,магия;2009;16
Не называй это любовью!;12;комедия,романтика;-;2021;18
Повесть о конце света;12;боевик,драма,мистика;суперсила;2021;18
Труп под ногами Сакурако;12;драма,детектив,триллер;-;2015;18
Игра Джокера;12;драма;военное,историческое;2016;18
Хромированный Региос;24;приключения,боевик,повседневность,фантастика,фэнтези;школа;2009;18
Попсовый эпос;12;комедия;пародия;2018;16
Цветы зла;13;романтика,драма,психология;сёнен,школа;2013;18
Полное погружение: RPG сложнее жизни;12;боевик,комедия,фэнтези;игры;2021;18
Клетки за работой: Тёмная сторона;13;боевик,драма;-;2021;16
Нулевой Эдем;25;приключения,комедия,фантастика,фэнтези;космос,сёнен;2021;16
Детройт, город металла;12;комедия;музыка;2008;18
Гениальный принц. Гайд по уплате госдолга;12;комедия,фэнтези;-;2022;16
Биско-ржавоед;12;приключения,боевик,фантастика,фэнтези;-;2022;18
Магистр дьявольского культа;35;приключения,боевик,комедия,мистика,детектив;историческое;2018,2019,2021;18
Перезапись;24;комедия,романтика,мистика;военное,школа;2016,2017;16
История семьи Аркана;12;боевик,романтика,мистика;сёдзё;2012;16
Жизнь не в одиночку;12;комедия,повседневность;школа,сёнен;2019;16
Рыцарь-скелет в параллельном мире;12;боевик,фэнтези;-;2022;16
Девы Розена;37;боевик,комедия,драма,мистика;магия;2004,2005,2013;16
Восьмой сын? Такого я принять не могу!;12;боевик,фэнтези;-;2020;16
Юная революционерка Утэна;39;комедия,драма,фэнтези,детектив,психология;сёдзё;1997;16
Перестану быть героем;13;приключения,боевик,комедия,фэнтези;-;2022;16
Тусовщик Кунмин;12;комедия;-;2022;18
Принцесса-шпионка;12;боевик,детектив;историческое;2017;18
Поющий принц;53;комедия,романтика;музыка,сёдзё,школа;2011,2013,2015,2016;16
Лаборатория любви;13;комедия,романтика;школа;2013;16
Радиант;42;приключения,боевик,фэнтези;магия;2018,2019;16
Ради своей дочери я смогу победить даже короля демонов;12;повседневность,фэнтези;-;2019;16
Дом теней;17;повседневность,мистика;-;2021,2022;16
Герцог смерти и его тёмная горничная;12;комедия,романтика,драма,мистика;-;2021;16
Подвиги школьного совета: Хроники академии Хэкиё;12;комедия,повседневность;пародия,школа;2009;16
Вторжение Кальмарки;24;комедия,повседневность;сёнен;2010,2011;16
Оккультная девятка;12;фантастика,мистика,детектив;-;2016;16
Царство;119;боевик;военное,историческое;2012,2013,2020,2022;18
Крест Анж: Рондо Дракона и Ангела;25;боевик,фантастика;меха;2014;18
Слушайтесь папу!;14;комедия,повседневность,романтика;-;2012;16
Путешествие Кино: Прекрасный мир;12;приключения,боевик,повседневность;-;2017;18
Если бы я сломал её флаг;13;комедия,романтика;школа;2014;16
Мичико и Хатчин;22;приключения,боевик;-;2008;18
Собачья жизнь;38;приключения,боевик,фэнтези;магия;2011,2012,2015;16
Фантазия Гранблю;25;приключения,фэнтези;-;2017,2019;16
Я, Ты;13;повседневность,романтика,драма;школа;2007;16
Код ангела;26;боевик,комедия,повседневность,романтика,фэнтези,мистика;магия,школа,сёдзё;2003;16
На закате человечества;12;приключения,комедия,фэнтези;-;2012;16
Школа убийц;26;боевик,драма,фантастика,психология;военное;2003,2008;18
Космические братья;99;комедия,повседневность,фантастика;космос;2012;16
Хлопушки-колотушки;13;приключения,комедия,фантастика;магия;2016;16
Мир отомэ-игр - это тяжёлый мир для мобов;12;романтика,фэнтези;школа;2022;16
Команда мечты;50;комедия,повседневность,драма;сёнен,спорт,школа;2019;16
Дорога зверя;12;комедия,фэнтези;сёнен;2019;16
Сведённые кукушкой;14;комедия,романтика;сёнен;2022;16
Жизнь без оружия;24;боевик,драма,фантастика;-;2019,2020;16
Сон в замке демона;12;комедия,фэнтези;демоны,сёнен;2020;16
Небо, где встретились звёзды;12;повседневность,драма;спорт,школа;2019;16
Наше;24;драма,фантастика,психология;меха;2007;18
Собираемся все в академии Сэтон!;12;комедия,повседневность;школа;2020;16
Гангрейв: Убийца с того света;26;боевик,драма,фантастика;суперсила;2003;18
Василиск;48;приключения,боевик,романтика,фэнтези,мистика;историческое,самураи;2005,2018;18
Ромео и Джульетта;24;романтика,драма,фэнтези;историческое;2007;16
Шутки чокнутой столицы;10;боевик,фэнтези,мистика;-;2013;16
Золотая мозаика;24;комедия,повседневность;школа;2013,2015;16
Перерождение повелителя демонов в ничтожество;12;боевик,фэнтези;школа;2022;16
Ты и я;26;комедия,повседневность,романтика,драма;сёнен,школа;2011,2012;16
Кровь Триединства;24;боевик,мистика;вампиры;2005;18
Хак Знак;66;приключения,фантастика,фэнтези,детектив;игры,магия;2002,2003,2006;16
Загугли это, Коккури-сан!;12;комедия,мистика;сёнен;2014;16
Время Евы;6;повседневность,фантастика;-;2008;16
Домашний питомец, сидящий на голове;12;комедия,повседневность;-;2019;16
Рыцари Зодиака;281;приключения,фантастика,фэнтези;сёнен;1986,2002,2005,2008,2009,2011,2012,2015;16
Двуличный братик;13;комедия,повседневность;-;2021;16
Конфликт братьев;12;романтика;сёдзё;2013;16
Миг за мигом;12;драма,детектив,психология;-;2018;18
Записки о робототехнике;22;приключения,драма,фантастика,триллер;меха,школа;2012;16
Горизонт среди пустоты;26;боевик,фантастика,фэнтези;-;2011,2012;16
Айшилд 21;145;боевик,комедия;сёнен,спорт;2005;16
Карин;24;комедия,романтика,мистика;вампиры,сёнен,школа;2005;16
Захватчики шести татами;12;комедия,мистика;школа;2014;16
Сильнейший мудрец низшей эмблемы;12;приключения,боевик,фэнтези;-;2022;18
Принц тенниса;194;боевик,комедия;сёнен,спорт,школа;2001,2012,2022;16
Девушка-сэнрю;12;комедия,повседневность;сёнен,школа;2019;16
Повелитель Рагнарёка и покровитель эйнхерий;12;фэнтези;-;2018;16
Гэнсикэн;49;комедия,повседневность;пародия;2004,2006,2007,2013;16
Тяжкий труд в подземелье;12;комедия,фэнтези;-;2021;16
Мария Холик;24;комедия,повседневность,романтика;пародия,сёдзё,школа;2009,2011;16
Изетта, последняя ведьма;12;боевик;военное,историческое;2016;18
Пожалуйста, учитель!;26;комедия,романтика,драма,фантастика;школа;2002,2003;16
Принц страйда;12;приключения,повседневность;спорт,школа;2016;16
Клуб добрых дел;12;комедия,повседневность;школа;2013;16
Драконий кризис!;12;боевик,романтика,мистика;магия,школа;2011;16
Алхимическое оружие;26;боевик,комедия,фэнтези,мистика;сёнен,школа;2006;16
Сёстры Минами;52;комедия,повседневность;школа;2007,2008,2009,2013;16
Изгнанник;47;приключения,боевик,фантастика;-;2003,2011;16
Адачи и Шимамура;12;повседневность,романтика;сёдзё,школа;2020;16
Слабый удар;24;боевик,романтика,драма,фантастика;-;2018;16
Радости рыбалки;12;комедия,повседневность,фантастика;спорт;2012;16
Выживший дьявол 2;13;боевик,мистика;демоны;2013;18
Сказание о демонах сакуры;34;боевик,драма,мистика;историческое,самураи;2010,2012;18
Владыка скрытого мира;26;боевик,комедия,драма,фэнтези,мистика;сёнен;2008;16
Божественные врата;12;боевик,фантастика,фэнтези;-;2016;16
По ту сторону стекла;13;повседневность,романтика,мистика;-;2014;16
Всё сведётся к F;11;фантастика,детектив,психология;-;2015;18
Вальврейв Освободитель;24;боевик;военное,космос,меха;2013;18
Каннаги;14;комедия,мистика;сёнен,школа;2008;16
Драматическое убийство;12;боевик,фантастика,психология;суперсила;2014;16
Я сказала, усредни мои способности!;12;комедия,фэнтези;-;2019;16
Фена: Принцесса пиратов;12;приключения,боевик,фэнтези;-;2021;16
Кобато;24;комедия,романтика,драма,фэнтези;-;2009;16
Прославленный;57;боевик,драма,фантастика,фэнтези;-;2006,2015,2022;18
Экзотическая семейка;25;комедия,повседневность,драма,фэнтези;демоны;2013,2017;16
Пропавшие феи: Исход;24;боевик,фэнтези,мистика;демоны,магия;2019;16
Повесть о лунной принцессе;12;боевик,романтика,фэнтези,детектив,триллер;вампиры,суперсила,ужасы;2003;18
Любовь после мирового господства;12;комедия,романтика;сёнен;2022;16
Кошачий рай;12;комедия,повседневность;-;2020;16
Бесконечный Дендрограм;13;фэнтези;игры;2020;16
Персиковый мальчик с другого берега;12;фэнтези;сёнен;2021;16
Битва через 5 секунд;12;мистика;игры,суперсила;2021;18
Принцесса Тютю;26;комедия,романтика,драма,фэнтези,детектив;магия;2002;16
Эпоха смут;37;боевик;боевые искусства,историческое,самураи,суперсила;2009,2010,2014;16
Звуки небес;12;повседневность,фантастика;военное,музыка;2010;16
Избранный богами;12;приключения,повседневность,фэнтези;-;2020;16
Моя богиня!;50;комедия,романтика,мистика;магия;2005,2006;16
Ария;53;повседневность,фантастика,фэнтези;сёнен;2005,2006,2008;
Лазурный путь;12;боевик,фантастика;военное;2019;16
Механическая планета;12;фантастика,фэнтези;-;2017;16
Акватоп белого песка;24;повседневность,драма;-;2021;16
Бадминтон Аяно Ханэсаки;13;повседневность;спорт;2018;16
Симфония морской стали: Новое искусство;12;боевик,фантастика;-;2013;16
Коллекция Дзюндзи Ито;12;драма,детектив,триллер,психология;демоны,ужасы,школа;2018;18
Герой Юки Юна;36;повседневность,драма,фэнтези,психология;-;2014,2017,2021;16
Всемогущая магия святого;12;повседневность,романтика,фэнтези;магия;2021;16
Повар небесной гостиницы;26;романтика,драма,мистика;демоны;2018;16
Бедствие ли это?;12;приключения,комедия;-;2019;16
Первые шаги;50;романтика;сёнен,спорт,школа;2014,2015;16
Городская дьяволица;24;комедия,повседневность,мистика;магия;2019,2022;16
Квест Сакуры;25;комедия,повседневность;-;2017;16
Магмел синего моря;13;приключения,боевик,фэнтези;сёнен,суперсила;2019;16
Школьная форма Акэби;12;повседневность;школа;2022;16
Кибер-виток;26;приключения,комедия,драма,фантастика,детектив;-;2007;
Юно: Девушка, что воспевает любовь на грани этого мира;26;драма,фантастика;-;2019;16
Досье лорда Эль-Меллоя II;14;фэнтези,мистика,детектив;-;2019;18
Переустановка Сакурады;24;мистика,детектив;суперсила,школа;2017;16
Плод эволюции;12;приключения,романтика,фэнтези;-;2021;18
Двенадцать королевств;45;приключения,боевик,фэнтези,мистика;магия;2002;16
Вавилон;12;детектив,триллер,психология;-;2019;18
Дни;24;повседневность;спорт,школа,сёнен;2016;16
Комиксистки;12;комедия,повседневность;-;2018;16
Чистый звук;12;повседневность,драма;музыка,сёнен,школа;2021;16
Рубаки;104;приключения,комедия,фэнтези;демоны,магия;1995,1996,1997,2008,2009;16
Королевский репетитор;12;комедия;историческое,сёнен;2017;16
Судный день;12;боевик,мистика;военное,магия,суперсила;2017;18
Хикару и Го;76;комедия,мистика;игры,сёнен;2001;16
Дочь моей мачехи - моя бывшая девушка;4;комедия,романтика;-;2022;16
Убивающая любовь;12;боевик,романтика;-;2022;18
Клуб стрельбы из лука;13;повседневность,драма;спорт,школа;2018;16
Дитя хаоса;12;фантастика,детектив;-;2017;18
Плеяда семи звёзд;12;фантастика,фэнтези;игры;2018;16
Остров;12;драма,фантастика;-;2018;16
Ми-ми-мишка;12;приключения,комедия,фэнтези;-;2020;16
Луна, Лайка и Носферату;12;фантастика;вампиры,космос;2021;16
Мужчина, переродившийся красавицей;12;приключения,комедия,фэнтези;-;2022;16
Небо в цвету!;13;приключения,комедия;историческое;2020;16
Отвергнутый священный зверь;12;боевик,драма,фэнтези;военное,сёнен;2019;18
Закрыты в рамках. Геном: Прямая трансляция;13;комедия,драма;игры;2019;16
Девушки-пони;26;комедия,повседневность;спорт;2018,2021;16
Перекрёстная игра;50;комедия,романтика,драма;сёнен,спорт,школа;2009;16
Мир Лидейл;12;приключения,фэнтези;-;2022;18
Арте;12;повседневность,романтика,драма;историческое;2020;16
Ликорис Рикойл;4;боевик,повседневность;-;2022;18
Танец мечей;37;боевик,фэнтези;историческое,самураи;2016,2017,2018;16
Улыбайся на подиуме;12;повседневность,драма;сёнен,школа;2020;16
Боец Баки;99;боевик;боевые искусства,сёнен,спорт;2001,2018,2020,2021;16
Цирк марионеток;36;приключения,боевик,драма,детектив;сёнен;2018;16
Почётная ученица в школе магии;13;фантастика,фэнтези;магия;2021;16
Красный Марс;13;боевик,мистика;вампиры,военное,историческое;2021;16
Белый альбом;39;романтика,драма;музыка;2009,2013;16
Жизнь девушки-карателя;12;приключения,боевик,фэнтези;-;2022;16
Диназенон;12;боевик,фантастика;меха;2021;16
Симфогир: Песнь боевых принцесс;65;боевик,фантастика;музыка;2012,2013,2015,2017,2019;16
Чит-фармацевт: Аптека в другом мире;12;комедия,фэнтези;-;2021;16
Моя горничная слишком надоедливая!;13;комедия,повседневность;сёдзё;2018;16
Дорога в школу Чио-чан;12;комедия;-;2018;16
Сумо Хиномару;24;боевик,драма;боевые искусства,сёнен,спорт;2018;16
Персона 3;4;боевик,фэнтези;-;2013,2014,2015,2016;18
Коп-чародей;12;боевик,фантастика,фэнтези,мистика;магия,полиция;2019;18
Вермей в золотом: Сильнейший маг;4;фэнтези;магия,сёнен,школа;2022;18
Привлекая поцелуй;4;комедия,романтика;-;2022;18
Ре-Мэйн;12;повседневность;спорт,школа;2021;18
Сказка о девушке эпохи Тайсё;12;комедия,повседневность,романтика;историческое,сёнен;2021;18
Бездельные дни старшеклассницы;12;комедия,повседневность;школа;2019;16
Западные ворота парка Икебукуро;12;романтика,драма,детектив;-;2020;18
Пикник в потусторонье;12;приключения,фантастика,фэнтези,детектив;сёдзё;2021;18
Восхождение чародея;12;приключения,боевик,комедия,фэнтези;-;2022;16
Правильный ответ: Кадо;13;фантастика;-;2017;16
Ао Аши;16;повседневность;спорт;2022;16
2.43: Волейбольный клуб старшей школы Сэйин;12;повседневность,драма;спорт,школа;2021;16
Дропкик злого духа;27;комедия,мистика;-;2018,2020,2022;16
Перерождение Дяди;4;комедия,фэнтези;-;2022;16
Жизнь перерождённого мудреца;5;приключения,боевик,фэнтези;-;2022;16
Святой воин Цербер;13;приключения,фэнтези;-;2016;18
Замахнись сильнее;40;комедия;спорт;2007,2010;16
Супер Каб;12;повседневность;школа;2021;18
Мэйджор;155;комедия,драма;сёнен,спорт;2004,2005,2007,2008,2009,2010;16
Аюму всё равно станет ближе;4;комедия,повседневность,романтика;сёнен,школа;2022;16
Пылающий Кабадди;12;комедия,повседневность;спорт,школа;2021;18
Сальто назад!!;12;повседневность;спорт;2021;16
Парни из магазинчика;12;повседневность,романтика;-;2017;16
Повесть о стране цветных облаков;78;приключения,комедия,романтика,драма,фэнтези;историческое;2006,2007;16
Гора Священного меча;24;приключения,комедия,фэнтези;магия;2016,2017;16
Сакуган;12;приключения,комедия,фантастика;меха;2021;18
Она представилась как ученик мудреца;12;приключения,фэнтези;-;2022;16
Красавчики-детективы;12;детектив;школа;2021;18
Питомец;13;мистика,детектив,психология;-;2020;18
Смута: Принцесса снега и крови;12;боевик,мистика;историческое;2021;18
Улисс: Жанна Дарк и рыцарь-алхимик;12;боевик,фэнтези;-;2018;16
Роза Версаля;40;романтика,драма;военное,историческое,сёдзё;1979;16
Как госпожа Вельзевул пожелает;12;комедия,романтика,фэнтези;демоны,сёнен;2018;16
Лазурный гримуар;12;боевик,фэнтези;-;2013;18
Риннэ: Меж двух миров;75;приключения,комедия,романтика,фэнтези,мистика;сёнен,школа;2015,2016,2017;16
Держись крепче! Скалолазки;12;комедия;спорт,школа;2020;16
Контракт душ;32;боевик,комедия,мистика;магия,сёнен;2016,2018;16
Проект Белая Кошка;12;приключения,боевик,фэнтези;магия;2020;16
Ура мечте!;39;повседневность;музыка;2017,2019,2020;16
Ориент;15;приключения,боевик,фэнтези;демоны,историческое,самураи,сёнен;2022;16
Заклинательница зверей Эрин;50;повседневность,драма,фэнтези;-;2009;16
Алый Нексус;26;боевик,фантастика;военное,суперсила;2021;18
Рок-шоу!;36;комедия;музыка;2015,2016,2020;16
Персона: Душа троицы;26;боевик,мистика;суперсила;2008;16
Астероид любви;12;комедия,повседневность;школа;2020;16
Шерлок из Кабуки-тё;24;комедия,драма,детектив;-;2019;18
Путь аса;178;комедия,повседневность;сёнен,спорт,школа;2013,2015,2019;16
Страж перерождения;12;приключения,романтика,фэнтези;военное,историческое;2017;16
Дочь босса и её нянька;4;комедия,повседневность;-;2022;16
Волны, слушайте меня;12;комедия,романтика,драма;-;2020;18
Девочки-волшебницы: Специальная операция;12;боевик,драма,фантастика;магия,военное;2019;18
Букет Лилий: Штурм;12;боевик,фэнтези;магия;2020;16
Жрицы с мечами;25;боевик,фэнтези;-;2018;16
Аниме-истории;12;комедия,повседневность;пародия,школа;2017;16
Городской охотник;190;боевик,комедия,детектив;сёнен;1987,1988,1989,1991,2005;16
Империя Альтаир;24;приключения,драма,фэнтези;военное,историческое,сёнен;2017;16
Девушка из оперы;13;драма;сёдзё,школа;2021;18
Дэаймон;12;повседневность;-;2022;16
Небесный отдел дизайна;13;комедия,повседневность,фэнтези;-;2021;16
Аякаси: Классика японских ужасов;23;фэнтези,детектив,триллер,психология;историческое,ужасы;2006,2007;18
Этот вампир постоянно умирает;12;комедия,мистика;вампиры,сёнен;2021;16
Повелитель хроноса;13;мистика;сёнен;2017;16
